variant,num_frames,avg_delta_psnr,avg_delta_ssim,avg_psnr_restored_vs_gt,avg_ssim_restored_vs_gt,rank_delta_psnr,rank_delta_ssim,rank_psnr_restored,rank_ssim_restored,mean_rank
combo_heterogeneous_density__nonlinear_gamma__adaptive_airlight__fog_coupled_noise,900,3.724006,0.099785,13.926662,0.890765,61,58,17,20,39.0000
combo_heterogeneous_density__secondary_scattering,900,4.523310,0.108227,13.449459,0.875765,29,47,35,49,40.0000
combo_heterogeneous_density__nonlinear_gamma__secondary_scattering,900,4.528967,0.108596,13.396121,0.875195,28,46,38,50,40.5000
combo_secondary_scattering__adaptive_airlight__fog_coupled_noise,900,4.226768,0.117028,13.245990,0.881346,43,32,49,43,41.7500
combo_heterogeneous_density__secondary_scattering__adaptive_airlight,900,3.778237,0.093006,13.875241,0.882404,58,61,18,36,43.2500
combo_nonlinear_gamma__secondary_scattering__adaptive_airlight__fog_coupled_noise,900,4.200029,0.116965,13.178455,0.880587,45,33,52,46,44.0000
combo_heterogeneous_density,900,4.293865,0.104685,13.377086,0.874665,37,53,40,52,45.5000
combo_heterogeneous_density__nonlinear_gamma__secondary_scattering__adaptive_airlight,900,3.769575,0.093156,13.809214,0.881696,59,60,23,40,45.5000
combo_heterogeneous_density__adaptive_airlight,900,3.607458,0.090149,13.865309,0.881956,62,63,20,39,46.0000
combo_adaptive_airlight,900,4.165384,0.107575,13.361957,0.874884,46,49,41,51,46.7500
combo_heterogeneous_density__nonlinear_gamma,900,4.296841,0.104998,13.322549,0.874065,36,52,45,54,46.7500
combo_secondary_scattering__adaptive_airlight,900,4.266415,0.109569,13.287478,0.873952,40,45,48,55,47.0000
combo_nonlinear_gamma__secondary_scattering__adaptive_airlight,900,4.254303,0.109694,13.234732,0.873383,41,44,51,56,48.0000
clean,900,-81.986952,-0.139542,17.013048,0.860458,64,64,1,64,48.2500
combo_heterogeneous_density__nonlinear_gamma__adaptive_airlight,900,3.593227,0.090214,13.795818,0.881195,63,62,24,44,48.2500
combo_nonlinear_gamma__adaptive_airlight,900,4.154194,0.107712,13.311579,0.874353,47,48,46,53,48.5000
combo_adaptive_airlight__fog_coupled_noise,900,3.965039,0.113030,13.159733,0.880275,54,38,55,47,48.5000
combo_nonlinear_gamma__adaptive_airlight__fog_coupled_noise,900,3.940736,0.113006,13.096075,0.879581,55,39,57,48,49.7500
