variant,num_frames,avg_psnr_degraded_vs_gt,avg_ssim_degraded_vs_gt,avg_psnr_restored_vs_gt,avg_ssim_restored_vs_gt,avg_delta_psnr,avg_delta_ssim,avg_mean_transmission,avg_std_transmission
combo_volumetric_blur__heterogeneous_density__secondary_scattering__fog_coupled_noise,900,8.910995,0.767548,14.001329,0.894846,5.090334,0.127298,0.486638,0.324315
combo_volumetric_blur__heterogeneous_density__adaptive_airlight__fog_coupled_noise,900,10.231653,0.791749,14.256339,0.902898,4.024685,0.111149,0.486638,0.324315
combo_volumetric_blur__nonlinear_gamma__secondary_scattering__adaptive_airlight,900,8.963790,0.763654,13.565554,0.887376,4.601764,0.123722,0.387234,0.291682
combo_volumetric_blur__nonlinear_gamma__secondary_scattering__fog_coupled_noise,900,7.762677,0.737970,13.167989,0.884703,5.405312,0.146733,0.387234,0.291682
combo_volumetric_blur__nonlinear_gamma__adaptive_airlight__fog_coupled_noise,900,9.137696,0.766537,13.345427,0.891829,4.207731,0.125292,0.387234,0.291682
combo_volumetric_blur__secondary_scattering__adaptive_airlight__fog_coupled_noise,900,9.001857,0.764280,13.512408,0.893801,4.510551,0.129521,0.390128,0.290863
combo_heterogeneous_density__nonlinear_gamma__secondary_scattering__adaptive_airlight,900,10.039639,0.788540,13.809214,0.881696,3.769575,0.093156,0.483312,0.325797
combo_heterogeneous_density__nonlinear_gamma__secondary_scattering__fog_coupled_noise,900,8.868718,0.766648,13.512132,0.881455,4.643413,0.114807,0.483312,0.325797
combo_heterogeneous_density__nonlinear_gamma__adaptive_airlight__fog_coupled_noise,900,10.202656,0.790981,13.926662,0.890765,3.724006,0.099785,0.483312,0.325797
combo_heterogeneous_density__secondary_scattering__adaptive_airlight__fog_coupled_noise,900,10.097023,0.789396,14.089032,0.892225,3.992009,0.102829,0.486638,0.324315
combo_nonlinear_gamma__secondary_scattering__adaptive_airlight__fog_coupled_noise,900,8.978426,0.763622,13.178455,0.880587,4.200029,0.116965,0.387234,0.291682
combo_volumetric_blur__heterogeneous_density__nonlinear_gamma__secondary_scattering__adaptive_airlight,900,10.015416,0.788485,14.117810,0.894067,4.102395,0.105582,0.483312,0.325797
combo_volumetric_blur__heterogeneous_density__nonlinear_gamma__secondary_scattering__fog_coupled_noise,900,8.852583,0.766610,13.928344,0.894193,5.075760,0.127583,0.483312,0.325797
combo_volumetric_blur__heterogeneous_density__nonlinear_gamma__adaptive_airlight__fog_coupled_noise,900,10.177253,0.790923,14.178493,0.902238,4.001240,0.111316,0.483312,0.325797
combo_volumetric_blur__heterogeneous_density__secondary_scattering__adaptive_airlight__fog_coupled_noise,900,10.071832,0.789339,14.363127,0.903764,4.291295,0.114425,0.486638,0.324315
combo_volumetric_blur__nonlinear_gamma__secondary_scattering__adaptive_airlight__fog_coupled_noise,900,8.961645,0.763586,13.440370,0.892950,4.478725,0.129365,0.387234,0.291682
combo_heterogeneous_density__nonlinear_gamma__secondary_scattering__adaptive_airlight__fog_coupled_noise,900,10.039577,0.788536,14.013344,0.891582,3.973767,0.103046,0.483312,0.325797
combo_volumetric_blur__heterogeneous_density__nonlinear_gamma__secondary_scattering__adaptive_airlight__fog_coupled_noise,900,10.015293,0.788481,14.283776,0.903128,4.268483,0.114647,0.483312,0.325797
